"data_owner";"data_contributors";"site";"geographical_position";"geographical_position_specification";"geographical_latitude";"geographical_longitude";"geographical_altitude";"sampling_year";"sampling_month";"sampling_season";"multiple_sampling";"region";"landuse_type";"organism_groups";"trophic_levels";"sampling_methodology";"file";"stream_width"
"1";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"BUT01";"Croatia";"Croatia";44.06934;16.19969;235;"2021";"February, November";"winter, autumn";"2";"mediterranean";"agricultural area";"Invertebrates";">1";"kick & sweep - standardized area";"Croatia_length and mass_data_permanent_IdG.xlsx";NA
"2";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"BUT03";"Croatia";"Croatia";44.095022;16.201489;277;"2021";"February, Apr-May, July, September";"winter, spring, summer, autumn";"4";"mediterranean";"agricultural area";"Invertebrates";">1";"kick & sweep - standardized area";"Croatia_length and mass_data_permanent_IdG.xlsx";NA
"3";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"BUT04";"Croatia";"Croatia";44.10723;16.21079;291;"2021";"February, Apr-May, June, July, September, November";"winter, spring, summer, autumn";"6";"mediterranean";"forest";"Invertebrates";">1";"kick & sweep - standardized area";"Croatia_length and mass_data_permanent_IdG.xlsx";NA
"4";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"BUT05";"Croatia";"Croatia";44.12077;16.23463;313;"2021";"Apr-May";"spring";"1";"mediterranean";"transitional woodland-shrub";"Invertebrates";">1";"kick & sweep - standardized area";"Croatia_length and mass_data_permanent_IdG.xlsx";NA
"5";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"BUT06";"Croatia";"Croatia";44.14007;16.24889;327;"2021";"February, July, November";"winter, summer, autumn";"3";"mediterranean";"transitional woodland-shrub";"Invertebrates";">1";"kick & sweep - standardized area";"Croatia_length and mass_data_permanent_IdG.xlsx";NA
"6";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"BUT08";"Croatia";"Croatia";44.27497;16.19177;568;"2021";"September";"autumn";"1";"mediterranean";"agricultural area";"Invertebrates";">1";"kick & sweep - standardized area";"Croatia_length and mass_data_permanent_IdG.xlsx";NA
"7";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"BUT09";"Croatia";"Croatia";44.25184;16.20854;507;"2021";"February, Apr-May, June, July, November";"winter, spring, summer, autumn";"5";"mediterranean";"forest";"Invertebrates";">1";"kick & sweep - standardized area";"Croatia_length and mass_data_permanent_IdG.xlsx";NA
"8";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"BUT13";"Croatia";"Croatia";44.20055;16.23497;395;"2021";"February, Apr-May, June, July, September, November";"winter, spring, summer, autumn";"6";"mediterranean";"forest";"Invertebrates";">1";"kick & sweep - standardized area";"Croatia_length and mass_data_permanent_IdG.xlsx";NA
"9";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"BUT18";"Croatia";"Croatia";44.14856;16.15487;392;"2021";"June, September, November";"summer, autumn";"3";"mediterranean";"transitional woodland-shrub";"Invertebrates";">1";"kick & sweep - standardized area";"Croatia_length and mass_data_permanent_IdG.xlsx";NA
"10";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"BUT23";"Croatia";"Croatia";44.16428;16.26868;399;"2021";"February, Apr-May, June, September, November";"winter, spring, summer, autumn";"5";"mediterranean";"forest";"Invertebrates";">1";"kick & sweep - standardized area";"Croatia_length and mass_data_permanent_IdG.xlsx";NA
